modelo;data_criacao;id_carro_modelo
FALCON;2022-09-23;551
GALAXIE;2022-09-23;552
MAVERICK;2022-09-23;553
MODELO A;2022-09-23;554
NEW FIESTA;2022-09-23;555
LINHA FX;2022-09-23;556
GTS;2022-09-23;557
H3;2022-09-23;558
PRIME;2022-09-23;559
TIBURON;2022-09-23;560
JEEP;2022-09-23;561
CJ5;2022-09-23;562
TC;2022-09-23;563
CLASSE CLC;2022-09-23;564
CLASSE CLS;2022-09-23;565
MONTEREY;2022-09-23;566
TOPSPORT;2022-09-23;567
TARGA;2022-09-23;568
X8;2022-09-23;569
370Z;2022-09-23;570
GTB;2022-09-23;571
GTC;2022-09-23;572
GTE;2022-09-23;573
AUSTIN;2022-09-23;574
7TL;2022-09-23;575
19;2022-09-23;576
CONVERSÃVEL;2022-09-23;577
SUPERMINI;2022-09-23;578
TL;2022-09-23;579
TOPOLINO;2022-09-23;580
SR5;2022-09-23;581
VITZ;2022-09-23;582
VARIANT;2022-09-23;583
CANDANGO;2022-09-23;584
SP2;2022-09-23;585
RECORB;2022-09-23;586
POLAUTO;2022-09-23;587
GORDINI;2022-09-23;588
MINX;2022-09-23;589
ETIOS;2022-09-23;590
ONIX;2022-09-23;591
HB20;2022-09-23;592
330;2022-09-23;593
520;2022-09-23;594
730;2022-09-23;595
M1;2022-09-23;596
SERIE Z;2022-09-23;597
CLASSE SLK;2022-09-23;598
CLASSE C;2022-09-23;599
CLASSE E;2022-09-23;600
CLASSE CL;2022-09-23;601
CLASSE CLK;2022-09-23;602
CLASSE S;2022-09-23;603
CLASSE SL;2022-09-23;604
CLASSE SLS;2022-09-23;605
CLASSE G;2022-09-23;606
CLASSE GL;2022-09-23;607
CLASSE M;2022-09-23;608
1500;2022-09-23;609
EQUUS;2022-09-23;610
350 GT;2022-09-23;611
400 GT;2022-09-23;612
MIURA;2022-09-23;613
ISLERO;2022-09-23;614
ESPADA;2022-09-23;615
COUNTACH;2022-09-23;616
DIABLO;2022-09-23;617
ZAGATO;2022-09-23;618
